Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
263319_at	AtBOR1, BOR1	Boron transporter. Protein accumulates in shoots and roots under conditions of boron deficiency and is degraded within several hours of restoring boron supply. Localized to the plasma membrane under B limitation, and to the cytoplasm after B application before degradation. Protein is transferred via the endosomes to the vacuole for degradation. Localized to the  inner plasma membrane domain in the columella, lateral root cap,  epidermis, and endodermis in the root tip region, and in the  epidermis and endodermis in the elongation zone. Under high-boron is transported to the vacuole for degradation., Boron transporter. Protein accumulates in shoots and roots under conditions of boron deficiency and is degraded within several hours of restoring boron supply. Localized to the plasma membrane under B limitation, and to the cytoplasm after B application before degradation. Protein is transferred via the endosomes to the vacuole for degradation. Localized to the  inner plasma membrane domain in the columella, lateral root cap,  epidermis, and endodermis in the root tip region, and in the  epidermis and endodermis in the elongation zone. Under high-boron is transported to the vacuole for degradation.	2, 2	-19357420, -19357478	AT2G47160	819329	9390427, 12447444, 16103374, 16805739, 18048682, 17999661, 18603465, 18952773, 19017629, 20194745, 20435907, 20666226, 21148314, 21621519, 22247248, 22301967, 23531152, 24114060, 24577486, 24606704, 24744768, 25035400, 25117286, 26002909, 26870730, 27449211, 27601653, 27697905, 25619824, 28870285, 29204148, 29235975, 29415257, 30018157, 30710051, 32632800, 33090485, 33443774, 33866370, 33932145, 34112901	GO:0005452: solute:inorganic anion antiporter activity, GO:0005737: cytoplasm, GO:0005768: endosome, GO:0005773: vacuole, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0009594: detection of nutrient, GO:0010036: response to boron-containing substance, GO:0010036: response to boron-containing substance, GO:0016328: lateral plasma membrane, GO:0022857: transmembrane transporter activity, GO:0035445: borate transmembrane transport, GO:0043674: columella, GO:0046713: borate transport, GO:0046715: active borate transmembrane transporter activity, GO:0046715: active borate transmembrane transporter activity, GO:0046715: active borate transmembrane transporter activity, GO:0050801: ion homeostasis, GO:0055085: transmembrane transport, GO:0080029: cellular response to boron-containing substance levels, GO:0080139: borate efflux transmembrane transporter activity	
251436_at	ARGOS	Encodes ARGOS (Auxin-Regulated Gene Involved in Organ Size).  Inducible by auxin.  Involved in lateral organ size control. Transgenic plants expressing sense or antisense ARGOS cDNA display enlarged or reduced aerial organs, respectively. The alteration in organ size is attributable mainly to changes in cell number and the duration of organ growth.	3	22129505	AT3G59900	825160	12953103, 15272873, 16212609, 16359384, 16339187, 16453058, 17435248, 19161943, 19789991, 20182802, 21457262, 23134674, 23962165, 26105742, 27268962, 28228774, 28696287, 31472448	GO:0003674: molecular_function, GO:0005622: intracellular anatomical structure, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005739: mitochondrion, GO:0005783: endoplasmic reticulum, GO:0009733: response to auxin, GO:0016020: membrane, GO:0042127: regulation of cell population proliferation, GO:0046622: positive regulation of organ growth, GO:0048638: regulation of developmental growth, GO:0071369: cellular response to ethylene stimulus	
263831_at	ATFER4, FER4	Encodes FERRITIN 4, AtFER4.  Ferritins are a class of 24-mer multi-meric proteins found in all kingdoms of life.  Function as the main iron store in mammals.  Evidence suggests that Arabidopsis ferritins are essential to protect cells against oxidative damage, but they do not constitute the major iron pool. Localize to mitochondria. Knock out mutants are not sensitive to abiotic stress., Encodes FERRITIN 4, AtFER4.  Ferritins are a class of 24-mer multi-meric proteins found in all kingdoms of life.  Function as the main iron store in mammals.  Evidence suggests that Arabidopsis ferritins are essential to protect cells against oxidative damage, but they do not constitute the major iron pool. Localize to mitochondria. Knock out mutants are not sensitive to abiotic stress.	2, 2	-16831109	AT2G40300	818622	11672431, 12169696, 12885779, 13129917, 14576160, 15047898, 15319476, 15308753, 16998091, 17337631, 18650403, 18826427, 19959254, 20724023, 23682113, 26042547, 31900819, 32692954	GO:0000302: response to reactive oxygen species, GO:0004322: ferroxidase activity, GO:0005737: cytoplasm, GO:0005739: mitochondrion, GO:0005794: Golgi apparatus, GO:0006826: iron ion transport, GO:0006880: intracellular sequestering of iron ion, GO:0008198: ferrous iron binding, GO:0008199: ferric iron binding, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009570: chloroplast stroma, GO:0009908: flower development, GO:0009941: chloroplast envelope, GO:0010039: response to iron ion, GO:0015979: photosynthesis, GO:0048366: leaf development, GO:0055072: iron ion homeostasis	00860: 00860
258739_s_at								GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process, GO:0048868: pollen tube development	
253161_at	ATSEN1, DIN1, SAG1, SEN1	Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant., Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant., Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant., Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant.	4, 4, 4, 4	16944878, 16944917, 16944941	AT4G35770	829730	8624406, 11080584, 11080291, 12114572, 14581628, 15295076, 15692183, 16021335, 16325410, 18650403, 19291320, 20238146, 25787925, 26605137, 28351989, 32561358, 33571997	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0005634: nucleus, GO:0006979: response to oxidative stress, GO:0007568: aging, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009611: response to wounding, GO:0009753: response to jasmonic acid	
249800_at	AtSWEET12, MTN3, SWEET12	homolog of the Medicago nodulin MTN3, homolog of the Medicago nodulin MTN3, homolog of the Medicago nodulin MTN3	5, 5, 5	-7971647	AT5G23660	832431	15247402, 16640606, 17064408, 17259181, 18218973, 18434608, 18650403, 22157085, 24406629, 25794936, 25988582, 26802041, 25186729, 28848581, 29138971, 30413655, 30407539, 31261714, 32860502, 33793843, 33955487, 34037757	GO:0005515: protein binding, GO:0005576: extracellular region, GO:0005886: plasma membrane, GO:0008515: sucrose transmembrane transporter activity, GO:0008643: carbohydrate transport, GO:0009793: embryo development ending in seed dormancy, GO:0010431: seed maturation, GO:0015770: sucrose transport, GO:0015770: sucrose transport, GO:0051119: sugar transmembrane transporter activity, GO:0051119: sugar transmembrane transporter activity, GO:0051260: protein homooligomerization	
252833_at	AGP3		4	-18580827	AT4G40090	830172	12177459, 15047898, 15235117, 15824099, 16228244, 17408486, 20226671, 22253603, 23148892	GO:0005886: plasma membrane, GO:0007275: multicellular organism development	
249467_at	ANAC092, ATNAC2, ATNAC6, NAC2, NAC6, ORE1	Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510., Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510., Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510., Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510., Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510., Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510.	5, 5, 5, 5, 5, 5	-15858398	AT5G39610	833957	9351240, 11118137, 15029955, 15295076, 16359384, 18650403, 19229035, 19608714, 19694953, 20113437, 20404534, 21303842, 21511905, 22195591, 22706448, 22664253, 22930749, 23148892, 23340744, 23459204, 23858430, 23945002, 23926065, 24135638, 24377444, 24336389, 24064769, 24659488, 25533953, 25440717, 25953103, 26089152, 26218222, 29032592, 29559987, 29808023, 29891679, 30065116, 30374089, 30415491, 30710054, 30969965, 31050353, 30356219, 31659127, 31819735, 31956028, 32111670, 32508856, 32579231, 32732458, 33204935, 33329652, 33501715	GO:0000976: transcription cis-regulatory region binding, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006979: response to oxidative stress, GO:0009651: response to salt stress, GO:0009723: response to ethylene, GO:0009733: response to auxin, GO:0009737: response to abscisic acid, GO:0010029: regulation of seed germination, GO:0010150: leaf senescence, GO:0010150: leaf senescence, GO:0010468: regulation of gene expression, GO:0042542: response to hydrogen peroxide, GO:0042803: protein homodimerization activity, GO:0042803: protein homodimerization activity, GO:0043068: positive regulation of programmed cell death, GO:0043565: sequence-specific DNA binding, GO:0045893: positive regulation of DNA-templated transcription, GO:0048527: lateral root development, GO:0051091: positive regulation of DNA-binding transcription factor activity, GO:0080187: floral organ senescence, GO:0090400: stress-induced premature senescence, GO:1900057: positive regulation of leaf senescence, GO:1902074: response to salt, GO:1904250: positive regulation of age-related resistance	
245966_at	RAP2.11	encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family (RAP2.11). The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.	5	-6689108	AT5G19790	832099	9192694, 11118137, 15078338, 16307366, 16581911, 16937017, 17408486, 22321773, 22406475, 26732494	GO:0000302: response to reactive oxygen species, GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006355: regulation of DNA-templated transcription, GO:0009723: response to ethylene, GO:0035865: cellular response to potassium ion, GO:0043565: sequence-specific DNA binding, GO:0048528: post-embryonic root development	
246595_at	AtFDH1, FDH	Encodes a NAD-dependent formate dehydrogenase., Encodes a NAD-dependent formate dehydrogenase.	5, 5	4776733	AT5G14780	831330	9215914, 8919912, 11074273, 12714601, 12668769, 12806771, 14671022, 14732258, 18650403, 20182695, 20118269, 20736450, 22649634, 23100543, 23511202, 25237129, 28988354, 33679842	GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005829: cytosol, GO:0008863: formate dehydrogenase (NAD+) activity, GO:0008863: formate dehydrogenase (NAD+) activity, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009536: plastid, GO:0009579: thylakoid, GO:0009611: response to wounding, GO:0016616: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, GO:0051287: NAD binding	00630: 00630, 01100: 01100
250287_at	Rap2.6L	encodes a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.	5	4271730	AT5G13330	831174	9192694, 11118137, 16133218, 16212609, 18192438, 18650403, 18783601, 21069430, 21911380, 22664253, 22661072, 24377444, 24265672, 25352272, 25533953, 25736731, 27650334, 27923776, 28827376, 28904073, 29317470, 29344830, 29884678, 30085082, 30356219, 31806676, 31907627, 32634250	GO:0000976: transcription cis-regulatory region binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0009414: response to water deprivation, GO:0009651: response to salt stress, GO:0009723: response to ethylene, GO:0009737: response to abscisic acid, GO:0009751: response to salicylic acid, GO:0009753: response to jasmonic acid, GO:0019760: glucosinolate metabolic process, GO:0045893: positive regulation of DNA-templated transcription, GO:0071497: cellular response to freezing	
253774_at	anac074, KIRA1, NAC074		4, 4, 4	-14090489, -14090489	AT4G28530	828971	11118137, 15029955, 15923329, 17565617, 29808023, 30347890	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006355: regulation of DNA-templated transcription, GO:0043068: positive regulation of programmed cell death, GO:0043565: sequence-specific DNA binding, GO:0045893: positive regulation of DNA-templated transcription, GO:0080187: floral organ senescence	
260161_at	ATROPGEF12, MEE64, ROPGEF12	Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily. Coexpression of AtPRK2a with AtRopGEF12 resulted in isotropic pollen tube growth  Growth., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily. Coexpression of AtPRK2a with AtRopGEF12 resulted in isotropic pollen tube growth  Growth., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily. Coexpression of AtPRK2a with AtRopGEF12 resulted in isotropic pollen tube growth  Growth.	1, 1, 1	-30041989	AT1G79860	844325	15634699, 15860008, 15980860, 16291648, 18775970, 20736450, 22253603, 23024212, 24136420, 26961657, 28795376	GO:0005634: nucleus, GO:0005886: plasma membrane, GO:0009793: embryo development ending in seed dormancy, GO:0009860: pollen tube growth, GO:0080092: regulation of pollen tube growth, GO:0090406: pollen tube	
258395_at	ANAC055, ANAC55, ATNAC3, NAC055, NAC3	Encodes an ATAF-like NAC-domain transcription factor that doesn't contain C-terminal sequences shared by CUC1, CUC2 and NAM. Note: this protein (AtNAC3) is not to be confused with the protein encoded by locus AT3G29035, which, on occasion, has also been referred to as AtNAC3., Encodes an ATAF-like NAC-domain transcription factor that doesn't contain C-terminal sequences shared by CUC1, CUC2 and NAM. Note: this protein (AtNAC3) is not to be confused with the protein encoded by locus AT3G29035, which, on occasion, has also been referred to as AtNAC3., Encodes an ATAF-like NAC-domain transcription factor that doesn't contain C-terminal sequences shared by CUC1, CUC2 and NAM. Note: this protein (AtNAC3) is not to be confused with the protein encoded by locus AT3G29035, which, on occasion, has also been referred to as AtNAC3., Encodes an ATAF-like NAC-domain transcription factor that doesn't contain C-terminal sequences shared by CUC1, CUC2 and NAM. Note: this protein (AtNAC3) is not to be confused with the protein encoded by locus AT3G29035, which, on occasion, has also been referred to as AtNAC3., Encodes an ATAF-like NAC-domain transcription factor that doesn't contain C-terminal sequences shared by CUC1, CUC2 and NAM. Note: this protein (AtNAC3) is not to be confused with the protein encoded by locus AT3G29035, which, on occasion, has also been referred to as AtNAC3.	3, 3, 3, 3, 3	5234457	AT3G15500	820789	11118137, 11245578, 15029955, 15341629, 15634198, 15860015, 16133218, 16553894, 16553893, 16805732, 16901781, 17217462, 17304219, 18162593, 18305208, 18783601, 18849494, 18427573, 19694953, 19816098, 23382734, 23578292, 22704619, 23858430, 24377444, 24659488, 27247031, 26518251, 28005270, 28827376, 29253181, 30969965, 31437321	GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0009414: response to water deprivation, GO:0009867: jasmonic acid mediated signaling pathway	
253613_at	AtCAPE6		4	14835792	AT4G30320	829155	26093145	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0005615: extracellular space, GO:0009888: tissue development, GO:0010015: root morphogenesis, GO:0048589: developmental growth	
263552_x_at	EXT6		2	10622453	AT2G24980	817037	15824099, 21680836, 23578334, 27247031	GO:0005199: structural constituent of cell wall, GO:0005575: cellular_component, GO:0009664: plant-type cell wall organization	
254338_s_at								GO:0005576: extracellular region, GO:0010015: root morphogenesis, GO:0016829: lyase activity, GO:0022607: cellular component assembly, GO:0030570: pectate lyase activity, GO:0045490: pectin catabolic process, GO:0048589: developmental growth, GO:0048646: anatomical structure formation involved in morphogenesis, GO:0071554: cell wall organization or biogenesis, GO:0090558: plant epidermis development	
246390_at	ACO5	similar to 1-aminocyclopropane-1-carboxylate oxidase GI:3386565 from (Sorghum bicolor)	1	-29062945	AT1G77330	844069	15082927, 16212609, 16367961, 16424108, 16705404, 17061125, 24363315	GO:0005737: cytoplasm, GO:0009693: ethylene biosynthetic process, GO:0009693: ethylene biosynthetic process, GO:0009815: 1-aminocyclopropane-1-carboxylate oxidase activity, GO:0051213: dioxygenase activity	00270: 00270, 01100: 01100, 01110: 01110
267228_at			2	18176831	AT2G43890	818993	14576160, 17010199, 18192438, 23056537, 32215973	GO:0004650: polygalacturonase activity, GO:0005576: extracellular region, GO:0005975: carbohydrate metabolic process	
252327_at	AtSWEET11, SWEET11		3, 3	-18052466	AT3G48740	824035	12953064, 17064408, 17586839, 21107422, 22157085, 25794936, 26802041, 28848581, 29138971, 30413655, 30407539, 31261714, 32433727, 31245743, 32860502, 32900978, 33793843, 33955487, 34037757	GO:0005515: protein binding, GO:0005886: plasma membrane, GO:0008515: sucrose transmembrane transporter activity, GO:0008643: carbohydrate transport, GO:0009507: chloroplast, GO:0009793: embryo development ending in seed dormancy, GO:0010431: seed maturation, GO:0015770: sucrose transport, GO:0015770: sucrose transport, GO:0051119: sugar transmembrane transporter activity, GO:0051119: sugar transmembrane transporter activity, GO:0051260: protein homooligomerization	
252300_at		Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.	3	-18221794	AT3G49160	824077	14508004, 16553896, 16916443, 17197417, 17557808, 18775970	GO:0000287: magnesium ion binding, GO:0004743: pyruvate kinase activity, GO:0004743: pyruvate kinase activity, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0006096: glycolytic process, GO:0006096: glycolytic process, GO:0009507: chloroplast, GO:0030955: potassium ion binding	00010: 00010, 00230: 00230, 00620: 00620, 00710: 00710, 01100: 01100, 01110: 01110
266267_at	ATGSTU4, GST22, GSTU4	Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)., Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)., Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).	2, 2, 2	-12626478	AT2G29460	817495	12090627, 12034900, 12535341, 12805589, 12969430, 15047898, 15159623, 15181204, 15235117, 15618427, 16927206, 16911220, 17181774, 17704230, 18334669, 18650403, 18702669, 19174456, 28441590, 29930298, 31511315, 33831160	GO:0004364: glutathione transferase activity, GO:0005515: protein binding, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0006749: glutathione metabolic process, GO:0009407: toxin catabolic process, GO:0010120: camalexin biosynthetic process, GO:1900367: positive regulation of defense response to insect	00480: 00480
260344_at	ATMES15, MES15, RHS9	Encodes a protein predicted to act as a carboxylesterase. It has similarity to the SABP2 methyl salicylate esterase from tobacco but no enzymatic activity has been identified for this protein., Encodes a protein predicted to act as a carboxylesterase. It has similarity to the SABP2 methyl salicylate esterase from tobacco but no enzymatic activity has been identified for this protein., Encodes a protein predicted to act as a carboxylesterase. It has similarity to the SABP2 methyl salicylate esterase from tobacco but no enzymatic activity has been identified for this protein.	1, 1, 1	-26027882	AT1G69240	843255	14576160, 17605126, 18467465, 18643994, 19448035, 22253603, 30913408	GO:0005737: cytoplasm, GO:0009694: jasmonic acid metabolic process, GO:0009696: salicylic acid metabolic process, GO:0080030: methyl indole-3-acetate esterase activity, GO:0080031: methyl salicylate esterase activity, GO:0080032: methyl jasmonate esterase activity	
245353_at			4	-9063759	AT4G16000	827284	18305208	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
251974_at	AtMYB27, MYB27	Member of the R2R3 factor gene family., Member of the R2R3 factor gene family.	3, 3	-19718253	AT3G53200	824486	11118137, 11597504, 16244144, 16463103, 17722694, 22363419, 24642943	GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006355: regulation of DNA-templated transcription, GO:0009646: response to absence of light, GO:0043565: sequence-specific DNA binding, GO:0043565: sequence-specific DNA binding	
266765_at	AtPPa3, PPa3	Encodes a protein that might have inorganic pyrophosphatase activity., Encodes a protein that might have inorganic pyrophosphatase activity.	2, 2	19253670	AT2G46860	819299	15135060, 16242667, 16307366, 16766693, 18775970, 22253603, 25663508, 29691313	GO:0000287: magnesium ion binding, GO:0004427: inorganic diphosphate phosphatase activity, GO:0004427: inorganic diphosphate phosphatase activity, GO:0005654: nucleoplasm, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0005829: cytosol, GO:0005829: cytosol, GO:0006796: phosphate-containing compound metabolic process, GO:0006996: organelle organization, GO:0009888: tissue development, GO:0010015: root morphogenesis, GO:0030154: cell differentiation, GO:0048638: regulation of developmental growth, GO:0051239: regulation of multicellular organismal process, GO:0071695: anatomical structure maturation, GO:1901657: glycosyl compound metabolic process, GO:2000241: regulation of reproductive process	00190: 00190
253998_at			4	13200593	AT4G26010	828707	12473102, 12626114, 12913156, 14576160, 15047898, 15231406, 15287975, 15824099, 15908439, 16648215, 17408486, 18441227, 23148892	GO:0004601: peroxidase activity, GO:0005576: extracellular region, GO:0005739: mitochondrion, GO:0006950: response to stress, GO:0006979: response to oxidative stress, GO:0009505: plant-type cell wall, GO:0020037: heme binding, GO:0035618: root hair	00360: 00360, 00940: 00940, 01100: 01100, 01110: 01110
266900_at			2	14575392	AT2G34610	818026	17419845, 17662035	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0009414: response to water deprivation, GO:0010150: leaf senescence	
255175_at	ATCSLC12, CSLC12	encodes a gene similar to cellulose synthase, encodes a gene similar to cellulose synthase	4, 4	-4802253	AT4G07960	826301	14576160, 15235117, 16131496, 16367961, 16776300, 17006591, 18230180, 18775970, 22253603, 32737163	GO:0005794: Golgi apparatus, GO:0005794: Golgi apparatus, GO:0005794: Golgi apparatus, GO:0009506: plasmodesma, GO:0016757: glycosyltransferase activity, GO:0016757: glycosyltransferase activity, GO:0016757: glycosyltransferase activity, GO:0016759: cellulose synthase activity, GO:0042803: protein homodimerization activity, GO:0048868: pollen tube development, GO:0071555: cell wall organization, GO:0099402: plant organ development	
253936_at			4	-13508042	AT4G26880	828795		GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0009888: tissue development	
247320_at	PSAN	Encodes the only subunit of photosystem I located entirely in the thylakoid lumen. May be involved in the interaction between plastocyanin and the photosystem I complex.	5	-25628521, -25628588	AT5G64040	836525	10631267, 10230065, 11719511, 11782485, 11826309, 12324436, 12753585, 12753580, 12953064, 12942173, 14576160, 14558660, 14729914, 15322131, 15489285, 15659098, 16403842, 16500996, 16597626, 18230142, 18431481, 18650403, 22197893, 30972883	GO:0005516: calmodulin binding, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009522: photosystem I, GO:0009522: photosystem I, GO:0009534: chloroplast thylakoid, GO:0009535: chloroplast thylakoid membrane, GO:0009536: plastid, GO:0009543: chloroplast thylakoid lumen, GO:0009579: thylakoid, GO:0009773: photosynthetic electron transport in photosystem I, GO:0015979: photosynthesis, GO:0030093: chloroplast photosystem I, GO:0030093: chloroplast photosystem I	00195: 00195, 01100: 01100
265796_at	AtHMP19		2	-15020398	AT2G35730	818143	20226671, 23368984	GO:0001666: response to hypoxia, GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0009414: response to water deprivation, GO:0009737: response to abscisic acid, GO:0019748: secondary metabolic process, GO:0042742: defense response to bacterium, GO:0050832: defense response to fungus	
